accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF796KYR	DNase-seq	human	y2015	paired-ended	2.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					5.86	81.32	12.82	95.79	5.86	81.32	12.82	11.99	81.68	9.64	8.68	95.79	8.11370038724133	0.36400279268381797	1.75425600142881	0.88509405012218	1.63562782617167	18.2711744696742	31.9718661460151	0.9122902442786509	36.091988082384205	1.393	1.5006	1.6865	2.108	5.3149	5.3803	2.4695	1.9209	1.6669999999999998	1.5322	0
ENCFF002DZT	ChIP-seq	human	y2014	single-ended	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.43	69.46	28.11	97.57	2.43	69.46	28.11	97.57									4.1833556300570605	0.245297540375874	1.5568082911576	0.76178234099481	1.4980779149608303	16.2382942200445	31.2284420231456	1.01624705844428	43.2716949808194	1.4789	1.5501	1.7177	2.004	2.7716	3.0386	2.2199	1.838	1.6538	1.5613	1
ENCFF109PRI	ChIP-seq	human	y2016	paired-ended	2.0	0.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					8.36	73.92	17.72	95.81	8.36	73.92	17.72	2.54	51.36	33.67	14.97	95.81	2.1571721571319	0.140389790492139	1.3944379477126003	0.438076529041062	1.56240250708994	14.979238413062001	30.024696526585497	0.7615265553075391	48.5420595735773	1.5588	1.6325	1.6966	1.7949	1.7742	1.6779	1.7622	1.7117	1.6443	1.5564	1
ENCFF123KCR	DNase-seq	human	y2015	paired-ended	2.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0					30.02	55.28	14.69	73.18	30.02	55.28	14.69	2.05	91.19	6.32	2.49	73.18	11.857523763085101	0.5172558066019071	1.70424786129652	1.2297609590151999	2.0148906035477503	16.071293903984802	27.9245820992507	1.3167450591068302	37.363699944111204	1.4363	1.5895	1.8028	2.264	8.0865	8.8477	2.8307	1.9911	1.7009999999999998	1.5841	1
ENCFF337YSO	ChIP-seq	human	y2016	paired-ended	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					4.24	85.1	10.66	97.56	4.24	85.1	10.66	11.53	65.04	19.62	15.34	97.56	8.205550423711799	0.538676252058316	1.73902566368127	1.0095786979396801	1.5231535403028202	17.732740270693604	31.765532752319398	0.7939073858387891	36.6918350134544	1.3291	1.443	1.6107	2.047	4.6843	5.8049	2.4826	1.7623	1.5265	1.4293	1
ENCFF001MZG	ChIP-seq	mouse	y2010	single-ended	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	0.0	2.0	2.0	62.07	26.21	11.71	37.93	62.07	26.21	11.71	37.93									3.4307286051010095	0.521311291198575	1.1430857026666201	0.734678370865428	1.44942464463345	11.740272735299099	23.638129432885	1.12569528238029	56.2166739349705	1.10209147810619	1.20961907353693	1.27121512820343	1.4322410211139098	2.9248833458339702	7.18589662748326	2.0922746068937097	1.64835821291791	1.38737148129219	1.18466205138757	1
ENCFF000WDD	ChIP-seq	human	y2012	single-ended	2.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	74.43	18.46	7.11	25.57	74.43	18.46	7.11	25.57									5.398405188635929	0.287057973602774	1.4142019536086101	0.70720187591629	1.4181370189761	16.1078369349271	30.5337865721444	0.841801291306835	43.291571190881996	1.4468	1.5263	1.6361	1.8768	3.2757	3.9044	2.1278	1.7703	1.6169	1.497	1
ENCFF000YEF	ChIP-seq	human	y2012	single-ended	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	64.71	27.06	8.22	35.29	64.71	27.06	8.22	35.29									6.54462219539189	0.322064594023544	1.77724117114398	0.9218231210383341	1.87433343394708	16.2912767884093	30.4830465841634	1.05322467048999	40.7323674413925	1.6111	1.7519999999999998	1.9082	2.2047	4.0603	4.0867	2.3941	1.9476	1.7837	1.6249	1
ENCFF826YSU	RNA-seq	human	y2016	single-ended	2.0	2.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	19.34	59.39	21.27	80.66	19.34	59.39	21.27	80.66									16.1660517655093	2.11869541896003	35.6699577314731	2.30037315595516	24.4710638158858	3.41341274884528	8.20542651588679	0.627652321080624	7.02736652640387	2.1555	2.3971	2.6237	3.0496	6.2279	17.0497	5.1964	3.2722	2.5005	2.3259	0
ENCFF000PIE	ChIP-seq	human	y2012	single-ended	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	38.97	43.38	17.65	61.03	38.97	43.38	17.65	61.03									7.485560650312999	0.348360345636416	2.55101062837023	1.07453983242788	2.19811039986279	16.4145013947529	30.022850743784105	1.82856393416161	38.076502070691	1.7188	1.8601	2.1027	2.4602	4.6158	4.9414	2.6715	2.1822	1.9632	1.8003	0
