accession,assay,organism,year,runType,FastQC_Basic_Statistics,FastQC_Per_base_sequence_quality,FastQC_Per_tile_sequence_quality,FastQC_Per_sequence_quality_scores,FastQC_Per_base_sequence_content,FastQC_Per_sequence_GC_content,FastQC_Per_base_N_content,FastQC_Sequence_Length_Distribution,FastQC_Sequence_Duplication_Levels,FastQC_Overrepresented_sequences,FastQC_Adapter_Content,FastQC_Kmer_Content,BowtieSE_no_mapping,BowtieSE_uniquely,BowtieSE_multiple,BowtieSE_overall,BowtieMI_no_mapping,BowtieMI_uniquely,BowtieMI_multiple,BowtieMI_overall,BowtiePE_con_no_mapping,BowtiePE_con_uniquely,BowtiePE_con_multiple,BowtiePE_dis_uniquely,BowtiePE_cod_no_mapping,BowtiePE_cod_uniquely,BowtiePE_cod_multiple,BowtiePE_overall,readsAnno_Promoter,readsAnno_5_UTR,readsAnno_3_UTR,readsAnno_1st_Exon,readsAnno_Other_Exon,readsAnno_1st_Intron,readsAnno_Other_Intron,readsAnno_Downstream,readsAnno_Distal_Intergenic,TSS_-4500,TSS_-3500,TSS_-2500,TSS_-1500,TSS_-500,TSS_+500,TSS_+1500,TSS_+2500,TSS_+3500,TSS_+4500,status
ENCFF881THL,DNase-seq,mouse,y2015,paired-ended,2,2,2.0,2,1,2,2,2,2,1,2,0,,,,,27.25,59.97,12.78,82.27,27.25,59.97,12.78,19.25,80.54,12.3,7.16,82.27,9.94938805743333,0.573246420480678,1.27893530749095,0.685460212411147,1.51020642305707,12.3693816365904,23.9367617414373,1.25347334394081,48.4431468571584,1.0573,1.1754,1.3073,1.6444,8.0056,8.033999999999999,2.1882,1.5889,1.3544,1.2304,0
ENCFF000PYD,ChIP-seq,human,y2012,single-ended,2,2,,2,1,0,2,2,2,0,2,0,22.91,56.64,20.45,77.09,22.91,56.64,20.45,77.09,,,,,,,,,10.2348188398145,0.445822911858206,2.3508031952821,1.23116717504357,2.94577011306986,14.7304596712798,27.8331075556575,1.33153515745604,38.8965153805385,2.0019,2.2313,2.4937,2.5455,7.1177,6.1652,2.8275,2.3731,2.0941,1.9247,0
ENCFF122HQC,DNase-seq,human,y2015,paired-ended,2,2,1.0,2,0,0,2,2,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ENCFF000RYX,ChIP-seq,human,y2012,single-ended,2,2,,2,1,2,2,2,1,2,2,0,52.85,27.89,19.26,47.15,52.85,27.89,19.26,47.15,,,,,,,,,4.60088121716861,0.255391657676369,1.70597190994243,0.928403625694437,2.43826942660389,16.0556961514806,31.9706395378147,1.0781298837479,40.966616589871,1.7037,1.8541,1.9467,2.2027,2.8369,3.3102,2.2278,2.1234,1.9545,1.8337,1
ENCFF630JRO,DNase-seq,mouse,y2018,paired-ended,2,2,2.0,2,1,2,2,2,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ENCFF000ZRO,ChIP-seq,human,y2012,single-ended,2,0,1.0,0,2,1,1,2,2,0,2,0,59.15,29.73,11.13,40.85,59.15,29.73,11.13,40.85,,,,,,,,,8.52326114762943,0.269054580798212,1.41175353266745,0.694308328668912,1.47732485183307,15.4608885772539,30.1939254083305,0.795948925095124,41.1735346477234,1.3953,1.517,1.6192,1.8366,5.4019,5.2334,2.0411,1.7180000000000002,1.5277,1.4905,1
ENCFF714TSH,ChIP-seq,human,y2017,single-ended,2,2,2.0,2,2,2,2,2,2,1,2,0,0.94,81.89,17.17,99.06,0.94,81.89,17.17,99.06,,,,,,,,,16.9625455830375,1.13583469886417,1.60770609839229,1.87677489812323,1.93603409806397,21.2931718787068,26.188962773811,0.932631699067368,28.0663382719337,1.5793,1.7309999999999999,1.9587,2.8013,8.8627,13.2034,3.9138,2.3501,1.9716,1.7896,0
ENCFF000ZQW,ChIP-seq,human,y2012,single-ended,2,0,1.0,0,2,1,1,2,2,0,2,0,57.39,30.87,11.74,42.61,57.39,30.87,11.74,42.61,,,,,,,,,5.57483245562393,0.253433550811713,1.49721364226554,0.735300047581796,1.57090494124858,16.4660233715332,31.6333258062695,0.868266974200989,41.4006992104648,1.4666,1.547,1.7059,1.9574,3.4891,3.6084,2.1162,1.7659,1.6555,1.5675,1
ENCFF498MQF,ChIP-seq,human,y2015,paired-ended,2,2,1.0,2,2,1,2,2,2,1,2,0,,,,,3.48,81.51,15.01,97.88,3.48,81.51,15.01,13.48,70.34,16.47,13.19,97.88,3.51722165042386,0.203811333009597,1.55647925593593,0.643807627348997,1.76955474044596,15.7317508940924,31.340828133701,0.814125489549324,44.4224208754929,1.5943,1.675,1.8034,1.9885,2.8810000000000002,3.0207,2.1028,1.8345,1.7313,1.6626,0
ENCFF588FSB,ChIP-seq,human,y2016,paired-ended,2,2,2.0,2,1,1,2,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ENCFF472HTS,ChIP-seq,human,y2016,paired-ended,2,2,0.0,2,1,2,2,2,2,2,2,2,,,,,7.34,76.5,16.15,95.23,7.34,76.5,16.15,1.81,66.21,19.02,14.76,95.23,2.47141030380529,0.13534779332594,1.36812377656705,0.523715155518655,1.32671139204195,15.2974318261245,31.3495791087651,0.718252356970714,46.8094282868808,1.3946,1.4529,1.5730000000000002,1.6552,1.8504,1.8038,1.7077,1.6054,1.5022,1.4076,1
ENCFF000VCT,ChIP-seq,human,y2011,single-ended,2,0,2.0,0,1,1,0,2,2,0,2,2,57.42,32.81,9.77,42.58,57.42,32.81,9.77,42.58,,,,,,,,,11.1293400844085,0.734008842222717,1.77546855150906,1.38894742228939,1.72278849106245,19.499750145999,29.8419999558491,1.0150695075769,32.8926269990829,1.5287,1.6725,1.9345,2.6685,6.4047,7.9978,3.3201,2.2201,1.8730000000000002,1.7128,1
ENCFF969CNA,DNase-seq,human,y2015,paired-ended,2,2,2.0,2,0,0,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ENCFF815GRU,ChIP-seq,mouse,y2015,single-ended,2,2,2.0,2,2,2,2,2,2,2,2,0,1.95,75.3,22.75,98.05,1.95,75.3,22.75,98.05,,,,,,,,,1.46163447799772,0.402559039316733,3.66206312511037,0.456039589654674,5.08306041195075,10.322147570197,41.4838494758304,1.57792708182825,35.5507192281141,1.1998,1.3382,1.3251,1.3286,1.5382,4.16,1.8733,1.9381,2.0223,1.8618,0
ENCFF023RRP,DNase-seq,mouse,y2016,paired-ended,2,2,2.0,2,0,0,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ENCFF581WJA,ChIP-seq,human,y2016,paired-ended,2,2,2.0,2,0,1,2,1,2,1,1,0,,,,,16.54,69.28,14.18,92.75,16.54,69.28,14.18,40.38,73.49,10.35,16.16,92.75,3.98073777902592,0.241939475733824,1.53012828348235,0.667429693600575,1.69185901444262,16.1495357691604,30.8562232995292,0.766932985290686,44.1152136997344,1.473,1.5594,1.6883,1.9143,2.7219,2.8724,2.0605,1.8093,1.6469999999999998,1.5464,1
ENCFF711KYY,RNA-seq,human,y2014,single-ended,2,2,0.0,2,0,0,2,2,0,0,0,0,60.33,12.11,27.56,39.67,60.33,12.11,27.56,39.67,,,,,,,,,98.2651581085001,0.00210077728759641,0.0226083650950852,1.06799515820854,0.14075207826896,0.0582215419705291,0.263797605113892,0.0575212828746636,0.121845082680592,0.0037,0.0118,0.0722,0.0395,13.2761,118.573,0.1903,0.0416,0.0078,0.0022,0
ENCFF527ROA,DNase-seq,human,y2015,paired-ended,2,2,2.0,2,0,0,2,2,2,0,2,0,,,,,32.69,53.51,13.8,71.57,32.69,53.51,13.8,6.24,92.75,3.49,3.76,71.57,10.1256891623443,0.401953259375036,1.65874157948726,0.96216722123338,1.8101842621508,16.5106614202349,28.7071691478405,1.09170959780914,38.7317243495248,1.5146,1.6301,1.7936,2.2102,7.2485,7.7356,2.5907,1.9034,1.7098,1.5765,0
ENCFF319EYM,ChIP-seq,human,y2016,paired-ended,2,2,2.0,2,0,1,2,1,2,1,1,0,,,,,25.42,61.79,12.78,81.17,25.42,61.79,12.78,16.78,89.01,4.41,6.58,81.17,2.4614371147374,0.160849186711352,1.42107023309997,0.523669180103602,1.47552859468127,14.9949431521389,30.8367693966236,0.695127138551569,47.4306060033524,1.3903,1.4561,1.5801,1.6847,1.885,1.8964,1.7167,1.6284,1.5313,1.4477,1
ENCFF001NFY,ChIP-seq,mouse,y2012,single-ended,2,0,2.0,0,2,0,0,2,2,0,2,0,64.24,25.16,10.6,35.76,64.24,25.16,10.6,35.76,,,,,,,,,2.73318356985005,0.24909847659286,1.28080247251799,0.42422840351721,1.38338437061795,11.7272112943583,24.7517639824911,1.31550376742421,56.1348236626304,1.1588,1.307,1.4352,1.6495,3.2969999999999997,6.0512,2.2436,1.8082,1.5749,1.2811,1
ENCFF504HQG,DNase-seq,human,y2015,paired-ended,2,2,2.0,2,1,0,2,2,1,1,0,0,,,,,57.47,32.89,9.64,67.81,57.47,32.89,9.64,11.69,63.43,19.03,17.54,67.81,6.12835795598994,0.304206965035755,1.57372781733676,0.743677384167766,1.41727852103265,15.95576396147,31.669248804358,0.988455345676893,41.2192832449322,1.3204,1.4244,1.6051,1.8674,7.2639,8.4423,2.2056,1.6501,1.4927,1.3664,1
ENCFF001NWK,ChIP-seq,mouse,y2012,single-ended,2,2,2.0,2,2,2,2,2,2,2,2,0,12.99,63.09,23.91,87.01,12.99,63.09,23.91,87.01,,,,,,,,,5.23972613085821,0.410864133877258,1.37075553684736,0.593034040294896,1.61848244109689,12.6706269404015,24.5070385658425,1.34417021053766,52.2453020002437,1.2154,1.4103,1.4968,1.8358,4.6512,7.4786,2.4501,1.9208,1.5997,1.3769,0
ENCFF754VFN,ChIP-seq,human,y2016,single-ended,2,2,2.0,2,2,1,2,2,2,2,2,0,1.77,72.09,26.14,98.23,1.77,72.09,26.14,98.23,,,,,,,,,2.81095547753769,0.155935188871596,1.51591926357571,0.590663594210592,1.54024957673298,16.0832418433128,32.4542248281797,0.767209172326983,44.0816010552519,1.5356,1.6182,1.7213,1.8325,1.9971,1.9745,1.8719,1.7511,1.6529,1.5817,0
ENCFF739IHC,ChIP-seq,human,y2015,paired-ended,2,2,0.0,2,1,1,2,2,2,2,2,2,,,,,8.84,76.28,14.89,92.68,8.84,76.28,14.89,2.55,85.06,6.32,8.62,92.68,18.400488338891,1.54311053712233,1.49851429955152,2.35300646241859,1.86406219258108,22.2798565252266,20.3270054433643,0.769032856933857,30.9649233439106,1.1202,1.245,1.5722,2.9541,10.3649,16.9481,6.2799,2.5061,1.6379,1.3422,1
ENCFF000SOJ,DNase-seq,human,y2011,single-ended,2,2,1.0,2,0,2,2,2,2,2,2,0,99.95,0.04,0.01,0.05,99.95,0.04,0.01,0.05,,,,,,,,,11.6425609099411,0.512030835214873,1.64189961550452,1.17804880352942,2.15109633170529,14.1403644677052,31.8007047509282,1.11569818521912,35.8175961002522,1.5203526542862498,1.5588069780529,1.73982367285687,2.1421872069030203,7.14124929656725,7.46764209341587,2.6561620709060203,1.7989120240105,1.5513036953667199,1.51566310260739,0
ENCFF222VRH,ChIP-seq,human,y2016,single-ended,2,2,2.0,2,1,1,2,2,2,2,2,0,3.05,75.51,21.44,96.95,3.05,75.51,21.44,96.95,,,,,,,,,2.73721999258513,0.171696687418837,1.54131964351918,0.54456719266293,1.54992980188532,15.7096897709293,32.0021353192748,0.720214423332111,45.0232271683924,1.48,1.565,1.6638,1.796,2.2723,2.2863,1.8530000000000002,1.7104,1.6421,1.5364,0
ENCFF956IEA,ChIP-seq,human,y2017,paired-ended,2,2,2.0,2,0,1,2,1,2,1,2,0,,,,,9.18,72.31,18.51,94.57,9.18,72.31,18.51,15.97,70.35,12.48,17.17,94.57,3.37538863879263,0.207071606697542,1.41256031997927,0.692465265407909,1.79300126307608,15.1672361304531,29.4332148524792,0.803490462156297,47.115571460958,1.4654,1.5764,1.6680000000000001,1.8352,2.4377,2.6509,1.9172,1.7264,1.6133,1.5351,1
ENCFF001RMA,RNA-seq,human,y2013,single-ended,2,0,0.0,2,0,0,2,2,0,0,0,0,58.65,5.35,36.0,41.35,58.65,5.35,36.0,41.35,,,,,,,,,96.181808180268,0.00150023253604309,0.0339052553145738,1.86688936785202,0.110217083647965,0.0203031469877831,0.984452590151473,0.364156444248859,0.436767698993344,0.0082,0.0093,0.0646,0.1852,11.0105,100.1914,0.6088,0.0178,0.0243,0.001,0
ENCFF992QLS,DNase-seq,human,y2015,paired-ended,2,2,1.0,2,0,0,2,2,2,0,2,0,,,,,34.4,53.52,12.09,70.44,34.4,53.52,12.09,3.12,88.7,7.5,3.8,70.44,13.1417946922096,0.671057073610698,1.82260673274112,1.49559363710112,2.31055662768375,16.5388006832508,26.8756392879277,1.49196575684133,35.6519855086338,1.5528,1.7047,1.9228,2.4898,7.4086,8.9986,3.2286,2.1971,1.8949,1.7169999999999999,1
ENCFF970RQO,DNase-seq,mouse,y2016,paired-ended,2,2,2.0,2,1,2,2,2,2,1,0,0,,,,,50.31,38.46,11.22,72.58,50.31,38.46,11.22,29.56,77.37,9.16,13.47,72.58,5.24994491933968,0.393144529631374,1.28727040460535,0.520689104540061,1.54842348032964,12.5795132284544,25.1813619173325,1.23491851094235,52.0047339048247,1.1679,1.2925,1.3796,1.6272,4.7735,5.7863,2.1488,1.6789,1.4659,1.2919,1
