accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF707CNX	ChIP-seq	human	y2017	paired-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					22.99	70.52	6.5	98.68	22.99	70.52	6.5	74.99	22.99	30.2	46.81	98.68	11.2461618736077	0.72056433000863	2.1391157759537602	1.35754279636356	2.06616628870738	19.18822372514	30.1230207308997	0.916133175460073	32.2430713038592	1.5656	1.7294	1.9672	2.7217	6.3403	7.9228	3.4532	2.3339	1.9902	1.7979	0
ENCFF584YEG	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0					2.46	82.97	14.57	98.6	2.46	82.97	14.57	12.53	65.09	18.46	16.46	98.6	2.85635994847248	0.174522187371712	1.4960778008991	0.585347011990058	1.6191331323193703	15.3956678860975	30.5757614364612	0.764621541659842	46.53250905472879	1.4806	1.557	1.6701	1.7755	2.2669	2.4114	1.859	1.7047	1.605	1.535	0
ENCFF002EIM	ChIP-seq	human	y2014	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					2.3	82.73	14.97	98.56	2.3	82.73	14.97	9.27	68.78	17.93	13.29	98.56	3.38725751381255	0.21426075915709697	1.65328095161046	0.6330946818191661	1.73644999087923	15.6593800144902	31.232499203865103	0.7939706053613629	44.68980627900479	1.5475	1.6297	1.7564	1.9237	3.4899	3.9063	2.0639	1.8016	1.6917	1.5775	0
ENCFF167VUS	ChIP-seq	human	y2015	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.16	84.23	12.61	97.82	3.16	84.23	12.61	8.54	75.49	15.79	8.73	97.82	5.77510462071854	0.30257325498170695	1.89121083570631	0.7729697129803409	1.89162041033234	17.897182433753898	31.306041328127602	0.9273793469946949	39.2359180564046	1.7819	1.904	2.1022	2.4518	4.7508	4.9104	2.6428	2.2092	1.9982	1.8589	0
ENCFF263XLB	ChIP-seq	human	y2016	paired-end	2.0	2.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	2.0	0.0					25.48	64.29	10.23	76.02	25.48	64.29	10.23	0.99	95.05	3.28	1.68	76.02	5.92001082627067	0.29216792030572103	1.5841500165625801	0.764807348937167	1.8427888150081202	15.7739369652509	30.3856656944568	0.843277613049696	42.5931948001584	1.6128	1.7278	1.8499	2.0967	3.9167	4.1763	2.3092	1.9355	1.7959	1.7179	0
ENCFF961XAS	ChIP-seq	human	y2015	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.7	81.87	14.43	97.26	3.7	81.87	14.43	5.44	78.44	13.64	7.92	97.26	6.4476665293868205	0.272299794889749	1.6073884213391598	0.7356445592153391	1.7788027106528799	15.2319911277421	29.9472096607232	0.810625662155995	43.1683715338948	1.5412	1.6219	1.7586	1.9657	4.4314	4.5163	2.1881	1.824	1.71	1.63	0
ENCFF031OAX	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					2.44	83.83	13.72	98.63	2.44	83.83	13.72	14.73	65.52	20.4	14.07	98.63	4.826741168527679	0.287885354011903	1.9034241965078798	0.8143774658507521	1.9460435229381103	17.6288286959203	32.0908160474058	0.98485477157168	39.5170287772659	1.73	1.8782	2.0639	2.3817	4.1127	4.6558	2.5611	2.1769	2.0166	1.8538	0
ENCFF853FSA	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					2.49	85.38	12.13	98.74	2.49	85.38	12.13	20.04	63.02	20.09	16.9	98.74	4.32512765028949	0.27169049405036	1.7096793006433302	0.725379431561547	1.84381517002274	16.8168572790328	31.5264541273426	0.867458879412457	41.913537667644704	1.6586	1.7959	1.9342	2.2	2.9404	3.1192	2.378	2.0765	1.9013	1.7543	0
ENCFF272GOE	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					2.96	82.88	14.16	98.13	2.96	82.88	14.16	8.46	69.19	17.31	13.5	98.13	2.90239975403735	0.18042655102106894	1.49974513738309	0.5666647787954301	1.5544596912521398	15.497063011747999	30.5689504514709	0.756496974012104	46.473793650279895	1.4489	1.5662	1.6587	1.7897	2.3073	2.4301	1.8603	1.7044	1.6266	1.5169	0
ENCFF700CIV	ChIP-seq	human	y2015	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.01	84.66	12.33	98.38	3.01	84.66	12.33	10.61	60.42	27.06	12.52	98.38	5.73324182109357	0.32761381834820397	1.8529194946490801	0.815272376013625	1.89928569612852	17.9518543938585	30.936424413432	0.9467449604717959	39.536643026004704	1.7503	1.911	2.138	2.5019	4.3209	4.6103	2.7352	2.2419	2.0115	1.8452	0
ENCFF910ZOL	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					5.74	82.23	12.03	95.97	5.74	82.23	12.03	8.45	76.75	15.59	7.66	95.97	6.729313542846239	0.318307824061109	1.8281645094386298	0.793080635276259	1.8740284356342398	17.2729431246728	30.7820002354078	0.9460956810793041	39.45606601158371	1.7412	1.8889	2.0835	2.4124	4.8501	5.0938	2.5955	2.2006	1.9791	1.8244	0
ENCFF662WYC	ChIP-seq	human	y2015	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.15	81.76	15.1	98.13	3.15	81.76	15.1	12.26	67.8	17.83	14.37	98.13	4.0259852573853	0.240419589668978	1.59248726936049	0.6783230657313061	1.8040117411852101	15.6018374853108	30.9050581717733	0.827478850096402	44.3243985694882	1.5678	1.6953	1.818	2.0167	3.116	3.3467	2.1047	1.8579	1.7609	1.6563	0
ENCFF579DKO	ChIP-seq	human	y2015	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.22	84.41	12.37	97.7	3.22	84.41	12.37	6.3	76.35	15.53	8.12	97.7	6.251055454743639	0.340918278889779	1.9749925030729698	0.8526539121677429	2.01593135373521	18.154435673295698	30.553687720494104	1.02787219300212	38.8284529105988	1.8115	1.9711	2.215	2.5698	4.9804	5.2867	2.7988	2.3045	2.0388	1.8979	0
ENCFF077ONG	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.45	84.19	12.36	97.91	3.45	84.19	12.36	18.57	74.22	15.33	10.45	97.91	6.383771912051929	0.34787788412445003	2.02050797870185	0.875975557374525	2.0813916736228704	17.7619315833408	30.8109991814638	1.04089844478122	38.6766457845386	1.7854	1.9311	2.1792	2.5354	4.4331	4.7804	2.809	2.3366	2.0503	1.9137	0
ENCFF498MQF	ChIP-seq	human	y2015	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0					3.48	81.51	15.01	97.88	3.48	81.51	15.01	13.48	70.34	16.47	13.19	97.88	3.51722165042386	0.203811333009597	1.55647925593593	0.6438076273489971	1.76955474044596	15.7317508940924	31.340828133701	0.8141254895493241	44.4224208754929	1.5943	1.675	1.8034	1.9885	2.881	3.0207	2.1028	1.8345	1.7313	1.6626	0
ENCFF235SEI	ChIP-seq	human	y2016	paired-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					5.87	82.53	11.6	95.84	5.87	82.53	11.6	7.94	76.93	15.76	7.31	95.84	6.83163274622668	0.29663054483037105	1.77836301329562	0.7157074192128129	1.7831310145292198	17.198484790076098	31.167815382992202	0.87944261051111	39.3487924783259	1.7164	1.8287	2.0222	2.3092	4.9225	5.1677	2.4928	2.1168	1.9304	1.7848	0
ENCFF824PVS	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	1.0	0.0	2.0	2.0	2.0	1.0	2.0	0.0					17.62	71.16	11.22	83.85	17.62	71.16	11.22	1.39	92.95	5.03	2.01	83.85	4.45525936039833	0.280740410676107	2.09528208943631	0.7356277670355369	1.95230581184772	16.9550038631189	32.22035311768	1.03282220250919	40.2726053772979	1.6649	1.7925	1.9692	2.2284	3.6884	3.9428	2.4290000000000003	2.1401	1.93	1.8294	0
ENCFF085NFE	ChIP-seq	human	y2016	paired-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					3.66	81.34	15.0	97.83	3.66	81.34	15.0	12.89	68.05	17.16	14.79	97.83	3.85309327986799	0.235262397142388	1.57720073224281	0.7045708412480558	1.7939137891538102	15.625031675785902	30.898842237354497	0.8210363708976061	44.491048676306896	1.5965	1.6729	1.8242	2.0247	2.7575	3.0027	2.1614	1.8693	1.757	1.6415	0
