accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF000XXC	ChIP-seq	human	y2012	single-ended	2.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	6.97	68.74	24.29	93.03	6.97	68.74	24.29	93.03									5.1337627262856795	0.27864504311235605	3.08414898839953	0.995117663010879	2.25083497741302	17.047350503002697	33.6126168539926	1.4340541744838202	36.1634690702994	1.5947	1.7683	1.8883	2.164	2.8704	3.2081	2.3987	2.1367	1.9903	1.8256	0
ENCFF000QQG	ChIP-seq	human	y2012	single-ended	2.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	3.8	69.42	26.78	96.2	3.8	69.42	26.78	96.2									4.87013844718869	0.29211483008569394	1.8017642719685598	0.8680128672772459	2.12212533605906	16.8926704070912	31.6726647578444	0.984858799311523	40.495650283173596	1.6851	1.8066	1.9864	2.2685	3.6476	4.1023	2.4479	2.091	1.9204	1.7637	0
ENCFF598YFV	ChIP-seq	human	y2016	single-ended	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.55	77.08	21.37	98.45	1.55	77.08	21.37	98.45									3.0856225811424305	0.19417218029223798	1.56521969939043	0.5812914798023161	1.57073247422523	15.6145263658665	31.8519962880649	0.7508603501837081	44.7855785810322	1.4418	1.5213	1.6403	1.7767	2.6863	2.9734	1.8608	1.6605	1.585	1.5027	0
ENCFF830CRU	ChIP-seq	human	y2016	single-ended	2.0	2.0	1.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	14.46	67.26	18.27	85.54	14.46	67.26	18.27	85.54									5.581764636210151	0.38574190323429	1.6245726525753301	0.8671413744577231	1.69443379352018	22.2222668334233	31.414326753404197	0.8317089279727622	35.378043125202	1.5961	1.7764	2.0126	2.496	3.6682	3.7039	3.3312	2.6659	2.3041	2.0154	0
ENCFF001FOG	ChIP-seq	human	y2011	single-ended	2.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	3.53	82.53	13.95	96.47	3.53	82.53	13.95	96.47									36.0111425754115	3.22039287910386	1.19861931573673	4.399652120530001	2.11797206732491	23.408536689347	12.8334221088036	0.5043650447338089	16.305897199008502	0.7945	0.8952	1.1433	2.4062	15.8746	37.3644	7.3439	2.3264	1.2829	1.0273	0
ENCFF000PQW	ChIP-seq	human	y2012	single-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	10.56	62.54	26.91	89.44	10.56	62.54	26.91	89.44									5.43484404966186	0.278288079135964	1.6491369738568702	0.7587564348440501	1.8644392853537899	16.4582618350661	30.891389926314698	0.952155041889573	41.7127283738771	1.58	1.735	1.9028	2.1644	3.6021	3.6011	2.2856	1.9416	1.7723	1.6601	0
ENCFF000XDN	ChIP-seq	human	y2010	single-ended	2.0	0.0	0.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	0.0	38.85	42.83	18.32	61.15	38.85	42.83	18.32	61.15									6.75512908219491	0.350494399021147	1.6508095325636298	0.9706153291322229	1.96915769836988	16.4778577750186	30.7719817449578	0.9425878320479859	40.1113666066938	1.5955	1.7169	1.891	2.1081	3.9708	4.7424	2.3599	1.9561	1.7903	1.6711	0
ENCFF064QXB	ChIP-seq	human	y2016	single-ended	2.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	53.84	33.91	12.25	46.16	53.84	33.91	12.25	46.16									8.933804689001349	0.6046417590160781	1.7051277945038799	1.3123758887963601	2.1405179040420204	20.7286728909103	31.5254468003331	1.00149734161809	32.0479149317789	1.6749	1.818	2.0829	2.609	4.9634	6.3852	3.1894	2.3134	1.9848	1.8071	0
ENCFF000COD	ChIP-seq	human	y2010	single-ended	2.0	0.0	2.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	0.0	49.33	34.79	15.89	50.67	49.33	34.79	15.89	50.67									4.64250023626211	0.28713386912888694	3.4854191088796402	0.9284598324248131	3.28635571221465	17.3660695435014	42.4337812594882	0.96716660399856	26.6031138341018	1.6501	1.7841	1.9026	1.9899	1.9133	1.9414	2.2231	2.3099	2.1973	2.0336	0
ENCFF001HJW	ChIP-seq	human	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	4.76	72.22	23.02	95.24	4.76	72.22	23.02	95.24									5.11871611836237	0.23965951820172698	1.8065167635685302	0.809077633357219	1.89218143576006	15.1679884221676	30.681155082283396	1.02626277285458	43.2584422534445	1.5767	1.7117	1.8532	2.0853	3.5547	3.154	2.1288	1.8332	1.7345	1.5962	0
