accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF001KEX	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	13.01	63.15	23.84	86.99	13.01	63.15	23.84	86.99									2.91232621906255	0.42137832851256496	1.7142071716585001	0.649925907643903	3.40644247333026	13.1657652180282	28.099212524166497	1.4409132271660599	48.189828930431396	1.3623	1.4734	1.5867	1.6812	2.5574	4.4299	2.1026	1.8342	1.6995	1.5795	0
ENCFF001KUP	ChIP-seq	mouse	y2011	single-ended	2.0	0.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	23.66	50.59	25.76	76.34	23.66	50.59	25.76	76.34									2.6702207447347597	0.383718808910871	1.1861228792086398	0.625342063122048	1.8381205278414	12.876168082216802	23.032756978087697	1.27541402306772	56.11213589281011	1.0713	1.3564	1.4535	1.7054	3.2663	8.41	2.5341	1.9185	1.6758	1.3878	0
ENCFF916TDC	ChIP-seq	mouse	y2016	single-ended	2.0	2.0	1.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	4.46	73.33	22.21	95.54	4.46	73.33	22.21	95.54									1.6556291390728501	0.45619999037891096	3.68658098552026	0.503102801340538	5.75952487853375	10.961627888331199	41.1215384121995	1.6217548867116698	34.2340410179113	1.265	1.355	1.3746	1.3384	1.55	3.5687	1.7976	2.0079	2.1553	2.0015	0
ENCFF001NVW	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.2	70.46	26.34	96.8	3.2	70.46	26.34	96.8									4.23362334060615	0.35891292036217204	1.47468144969435	0.50839290905561	1.51019049142301	12.686384747005599	25.150158985950302	1.41834982542226	52.6593053304805	1.2473	1.4108	1.5144	1.8322	3.8657	6.3142	2.3888	1.9077	1.625	1.425	0
ENCFF001NUM	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	3.34	67.0	29.66	96.66	3.34	67.0	29.66	96.66									1.6804584229746802	0.179755824068423	1.30198775673248	0.331529354034824	1.30563762118057	11.077946910693901	25.1126895648348	1.22757107604087	57.7824234694395	1.1129	1.3114	1.3853	1.5686	2.6035	5.8912	2.0156	1.7396	1.4822	1.2549	0
ENCFF001LSL	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	9.8	70.59	19.61	90.2	9.8	70.59	19.61	90.2									7.613289534035291	0.965110105453535	2.11679879722551	1.207893107231	4.48762147932029	13.546869966066598	26.6698984205556	1.6362510450508503	41.7562675450614	1.3619	1.5155	1.5835	1.7904	5.4951	8.8175	2.63	2.0054	1.8709	1.6872	0
ENCFF001KIL	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	12.65	63.63	23.72	87.35	12.65	63.63	23.72	87.35									3.27684357147183	0.448250802430506	1.6003189535095	0.671518259079072	3.1504733835315	13.0275349738579	27.6653814320609	1.35948886690756	48.8001897571512	1.2464	1.3813	1.4728	1.6012	3.0576	5.2427	2.0133	1.7459	1.5837	1.4835	0
ENCFF001HZN	ChIP-seq	mouse	y2011	single-ended	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	35.16	49.05	15.8	64.84	35.16	49.05	15.8	64.84									5.63740979482272	1.17264222675631	1.5332623127433798	1.64049537864607	3.07184113857642	14.8789139065939	26.034563353776804	1.29532327408932	44.73554861399511	1.1884	1.2936	1.4162	1.5765	3.5877	9.3265	2.4831	1.7951	1.579	1.4487	0
ENCFF001NQG	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	11.13	62.91	25.96	88.87	11.13	62.91	25.96	88.87									3.1179602084282005	0.293983711005348	1.4522875922351202	0.46092374155225	1.5965592420499501	11.996006335056801	25.3867729494687	1.4052381086712098	54.2902681115325	1.2026	1.4125	1.4869	1.6956	3.1971	6.3056	2.2517	1.9191	1.6107	1.4098	0
ENCFF126KYO	ChIP-seq	mouse	y2016	single-ended	2.0	2.0	1.0	2.0	0.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.18	68.69	30.12	98.82	1.18	68.69	30.12	98.82									1.2732835598869399	0.17308133013303698	1.14090951123119	0.297916993330037	1.51270268205703	10.4175461449702	24.430299082930304	1.10301656032518	59.651244135136096	1.083	1.2682	1.2883	1.3768	1.9159	6.0641	1.9201	1.5855	1.5123	1.1828	0
