accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF114XZJ	DNase-seq	human	y2017	paired-ended	2.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					9.69	68.88	21.43	97.23	9.69	68.88	21.43	18.58	35.08	25.88	39.04	97.23	13.7216135654484	0.700165868657495	1.76350424577267	1.5143474872566203	2.2384687927369504	16.1333296945328	26.3643227737363	1.53527059030442	36.0289769815543	1.5634	1.7053	2.0022	2.5528	7.6733	9.4932	3.2117	2.1773	1.8607	1.7135	0
ENCFF279EYA	DNase-seq	human	y2015	paired-ended	2.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	2.0	0.0					23.36	59.95	16.69	84.31	23.36	59.95	16.69	12.42	76.7	14.41	8.89	84.31	13.058499303290501	0.551294819617395	1.59370907798067	1.14090313861537	1.59724231135294	16.0380087580022	26.6311944757896	1.06626358362611	38.3228845317251	1.2783	1.4146	1.5852	2.0921	11.1513	13.1133	2.9116	1.8332	1.5244	1.4143	0
ENCFF317KXT	DNase-seq	human	y2015	paired-ended	2.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0					34.91	49.44	15.65	85.2	34.91	49.44	15.65	27.95	58.86	19.15	21.98	85.2	9.15649185736418	0.385689126533471	1.5461025656468999	0.9245162434459059	1.63499621337598	16.436402004512697	29.5796122363166	1.00928308444227	39.326906668362	1.3862	1.4809	1.6634	2.0069	9.6087	11.5754	2.4403	1.7152	1.5288	1.4415	0
ENCFF198NDG	DNase-seq	human	y2016	paired-ended	2.0	2.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0					42.29	43.17	14.54	73.41	42.29	43.17	14.54	23.65	82.35	7.09	10.56	73.41	22.8751771802553	0.850250786455173	1.47651999751251	1.52015834178581	1.8889934874864098	14.1946849139992	23.3425470640079	1.51715619525103	32.334512033246604	1.2281	1.3409	1.5443	2.2748	15.4997	16.6114	3.2418	1.7944	1.5003	1.337	0
ENCFF418GNA	DNase-seq	human	y2017	paired-ended	2.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					4.84	75.34	19.82	98.2	4.84	75.34	19.82	30.16	53.23	18.19	28.58	98.2	11.5072174942325	0.49614422090795396	1.78830347800219	1.1815929453908502	2.12447499204297	16.4359994757721	28.958596400718104	1.2026036650184	36.3050673279149	1.4855	1.6538	1.8402	2.2735	8.0584	8.8874	2.8067	2.014	1.7559	1.6361	0
ENCFF569MQH	DNase-seq	human	y2016	paired-ended	2.0	2.0	1.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	2.0	0.0					42.74	42.78	14.47	72.65	42.74	42.78	14.47	23.48	83.62	6.24	10.14	72.65	22.421252119702395	0.825156445288633	1.4875969274767	1.50324681589085	1.8966378465753502	14.2463292436387	23.499593746047303	1.5297229969750699	32.590463858405	1.2438	1.3533	1.5785	2.2458	15.297	16.3184	3.2209	1.7991	1.4898	1.3407	0
ENCFF321DAV	DNase-seq	human	y2015	paired-ended	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	0.0					94.56	4.49	0.95	14.74	94.56	4.49	0.95	0.02	90.19	7.04	2.77	14.74	4.50876563184855	0.19596696527815197	1.53285421257789	0.5973585646309629	1.3980061607051102	16.104681139272802	30.7804407273659	0.819766324393972	44.0621602739266	1.4089	1.5177	1.6598	1.8055	3.3693	3.2312	1.9728	1.7218	1.5755	1.5021	0
ENCFF024YNB	DNase-seq	human	y2017	paired-ended	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					14.51	57.69	27.8	95.28	14.51	57.69	27.8	15.41	38.47	23.81	37.71	95.28	13.7808795270974	0.614944306930693	1.56127866076081	1.33258288822303	1.96503305758207	15.3726916688379	26.0163578035435	1.41431083897863	37.9419212480459	1.5274	1.6564	1.9371	2.4188	8.0906	9.2029	3.0142	2.0627	1.7909	1.6631	0
ENCFF442EOZ	DNase-seq	human	y2015	paired-ended	2.0	2.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0					53.83	38.77	7.41	55.67	53.83	38.77	7.41	11.58	93.13	3.28	3.59	55.67	7.25498352287413	0.32711941070043893	1.51757156241923	0.79700019384854	1.4509361269061798	16.344460777978803	30.5681983393642	0.861212522615663	40.8785175432928	1.3759	1.5041	1.6487	2.0163	4.8182	4.8532	2.3271	1.7907	1.5806	1.4518	0
ENCFF166ABT	DNase-seq	human	y2017	paired-ended	2.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					6.51	77.52	15.97	97.55	6.51	77.52	15.97	30.25	54.05	20.32	25.63	97.55	11.022156855177	0.439500835935262	1.5869565659007498	1.00718518352994	1.73179783977264	16.7455201792538	29.2879009797608	1.07462880614631	37.104352754523504	1.3809	1.5128	1.7065	2.0909	6.9837	7.1263	2.5753	1.8933	1.6379	1.5454	0
ENCFF405CPB	DNase-seq	human	y2014	paired-ended	2.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0					66.91	25.88	7.21	56.99	66.91	25.88	7.21	24.06	84.64	6.24	9.12	56.99	19.9758902118249	0.826004002047559	1.65433477593187	1.49423071383144	1.7205923739499098	16.7755817483585	26.2158490833627	1.5166120429278303	29.820905047765304	1.2545	1.3803	1.6176	2.3008	15.1348	17.0376	3.3497	1.8795	1.537	1.4489	0
ENCFF287MXM	DNase-seq	human	y2015	paired-ended	2.0	2.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0					36.24	47.64	16.12	77.41	36.24	47.64	16.12	21.88	79.79	7.84	12.37	77.41	12.3624006398628	0.47082687423727704	1.57687836010423	1.12450113790033	1.84156387084007	15.245081467066901	27.679528513473397	1.3620790593357301	38.3371400771793	1.4346	1.5556	1.7831	2.2246	8.3744	8.7703	2.7632	1.9107	1.6702	1.558	0
ENCFF733BXA	DNase-seq	human	y2017	paired-ended	2.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					9.25	73.12	17.63	96.42	9.25	73.12	17.63	34.86	59.45	16.38	24.16	96.42	11.8675935420104	0.441279515383651	1.71806194557518	0.993110080488562	1.866422276242	16.635775388213002	27.8208497635893	1.09051007596789	37.5663974125301	1.515	1.6276	1.8121	2.2765	8.0167	7.934	2.7481	2.0018	1.7669	1.6225	0
ENCFF344WBT	DNase-seq	human	y2015	paired-ended	2.0	2.0	2.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	2.0	0.0					20.71	64.73	14.56	82.36	20.71	64.73	14.56	8.19	92.77	3.53	3.7	82.36	13.193719070532	0.5134052456579129	1.5729519945446298	1.13589777423667	1.75677867167347	15.8987412153512	27.067042848235698	1.2996797890374798	37.5617833907309	1.4479	1.5542	1.8012	2.2884	8.0652	7.947	2.8685	1.9881	1.7131	1.5057	0
ENCFF658PHC	DNase-seq	human	y2017	paired-ended	2.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0					8.4	66.41	25.18	97.19	8.4	66.41	25.18	10.59	37.35	19.93	42.72	97.19	10.446238721912499	0.504794469940151	1.7683712758708399	1.2094953491999598	2.20122817243672	16.4436362442224	28.5416683770227	1.1864055431953797	37.6981618461993	1.6184	1.7617	1.9564	2.3839	6.5655	7.7259	2.798	2.1369	1.8852	1.7444	0
