accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF310LVJ	DNase-seq	mouse	y2015	paired-ended	2.0	2.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0					29.11	57.6	13.28	80.76	29.11	57.6	13.28	23.13	85.97	8.09	5.94	80.76	10.9865714320186	0.635836058057744	1.27076722608979	0.727833210670463	1.6809840377399499	12.347123857325	23.7678414150067	1.21114502772985	47.3718977353619	1.0232	1.1554	1.2529	1.5602	8.6598	8.7777	2.1366	1.5429	1.3238	1.1788	0
ENCFF539VYO	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					5.1	84.09	10.81	97.47	5.1	84.09	10.81	24.85	65.83	21.98	12.19	97.47	13.1051465599878	1.23495826437433	1.60458521532221	1.4361818156348003	2.7637969713404	14.324995547265999	24.4935390329662	1.36964095954916	39.667155633559	1.1169	1.1773	1.3136	1.7429	8.8857	11.0157	2.5934	1.7533	1.5417	1.4166	0
ENCFF817WJD	DNase-seq	mouse	y2015	paired-ended	2.0	2.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0					28.37	59.95	11.68	78.7	28.37	59.95	11.68	7.42	81.09	14.57	4.34	78.7	11.661314191944099	0.8371002003402759	1.28197642226495	0.94391478994473	1.6990667566016697	12.465997523431803	23.251653562332002	1.2197601957093	46.6392163574312	1.1033	1.2052	1.35	1.6715	8.8634	9.6542	2.2626	1.6692	1.3755	1.2213	0
ENCFF363CIZ	DNase-seq	mouse	y2015	paired-ended	2.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0					26.07	58.88	15.05	80.97	26.07	58.88	15.05	10.19	81.26	7.67	11.07	80.97	11.215128591219699	1.01651115875049	1.3237818267908301	1.09666436272184	1.85345506454891	12.817289818536802	22.2451724999273	1.31395077048396	47.118045907020296	1.0358	1.1971	1.3527	1.8295	8.7925	11.7888	2.9007	1.8791	1.7802	1.297	0
ENCFF533KOQ	DNase-seq	mouse	y2015	paired-ended	2.0	2.0	1.0	2.0	1.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0					27.71	59.85	12.44	82.87	27.71	59.85	12.44	21.56	78.79	14.06	7.16	82.87	11.2309419897902	0.673459127323012	1.25931136772113	0.735476373737201	1.5410984679331698	12.679415994227801	23.815927192956902	1.2382375461240702	46.8261319401865	1.053	1.1627	1.239	1.5985	8.7865	8.5067	2.2243	1.5736	1.3485	1.196	0
ENCFF741UCB	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					7.54	81.22	11.24	96.64	7.54	81.22	11.24	32.28	65.7	20.74	13.56	96.64	19.279778337572104	1.28007635755148	1.48254871519157	1.29145347163071	2.55491722897801	14.5561616637569	22.676299961136603	1.33968035343559	35.539083910746996	1.124	1.2085	1.3341	1.7724	13.7799	12.9907	2.6691	1.7926	1.5502	1.4223	0
ENCFF544RRN	DNase-seq	mouse	y2016	paired-ended	2.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0					60.18	32.88	6.94	52.96	60.18	32.88	6.94	14.08	90.97	4.29	4.74	52.96	8.6173797917795	0.559366913401938	1.33608152293836	0.64542336161762	1.5613528314376799	13.5717437965136	25.006118232332398	1.26687528835931	47.43565826161961	1.1488	1.2545	1.3534	1.6964	6.6391	6.2257	2.1977	1.6416	1.4285	1.2829	0
ENCFF219ILD	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0					3.84	79.29	16.87	98.23	3.84	79.29	16.87	22.26	59.46	22.18	18.36	98.23	10.7244442039052	1.0305104043265	1.47741235850777	1.20850947825024	2.3758266032444704	13.5069826551128	23.187085445569	1.40204338126079	45.0871854698233	1.1657	1.3181	1.4434	1.8427	7.96	10.8574	2.7291	1.8284	1.5861	1.3903	0
ENCFF781DID	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0					5.29	79.21	15.5	97.24	5.29	79.21	15.5	27.52	71.88	13.79	14.33	97.24	15.312533212481698	1.0855593633631	1.5226105562050398	1.15373894839006	2.6442649939941805	13.9323979361639	22.756741256469496	1.4097131845280502	40.1824405484045	1.2089	1.3218	1.4492	1.8481	11.0645	11.7825	2.6477	1.8568	1.6585	1.4842	0
ENCFF806MFR	DNase-seq	mouse	y2016	paired-ended	2.0	2.0	1.0	2.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0					56.69	35.79	7.52	56.46	56.69	35.79	7.52	15.78	91.19	3.83	4.98	56.46	8.61171740840007	0.561716605947776	1.35825081448908	0.6585124139369909	1.5673899436678502	13.617214206615401	24.9987963215587	1.24530565407886	47.3810966313053	1.1293	1.2446	1.3837	1.6843	6.6341	6.3156	2.2152	1.6763	1.4113	1.2997	0
ENCFF721XDH	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					3.85	79.34	16.8	98.21	3.85	79.34	16.8	20.83	58.71	22.74	18.55	98.21	10.5980396087235	1.0604754650416899	1.44082745349583	1.20439785118666	2.33893922386145	13.497534477229	23.2455700769724	1.3988333867863998	45.215382456703	1.1529	1.3202	1.4348	1.8603	7.8482	10.8672	2.7472	1.8362	1.5803	1.3758	0
ENCFF003BTS	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0					6.97	77.51	15.52	96.83	6.97	77.51	15.52	28.48	63.57	19.44	16.99	96.83	12.482085867405301	1.0346038818971899	1.5439272595893299	1.1352642460006799	2.71401617791694	14.2956785291343	23.7454085626543	1.44868629694306	41.6003291784589	1.25	1.3778	1.518	1.8708	9.0791	10.6517	2.6672	1.8882	1.704	1.5308	0
ENCFF846FBJ	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0					4.32	80.28	15.4	98.06	4.32	80.28	15.4	27.64	62.1	20.93	16.97	98.06	10.7605948692676	0.9326509986106899	1.43999471120473	1.13829298122778	2.43444848783527	13.496745087079802	23.8583764800864	1.3852035935761202	44.5536927911116	1.1805	1.2797	1.4158	1.811	7.9474	9.5132	2.5509	1.8059	1.5830000000000002	1.4346	0
ENCFF968FSR	DNase-seq	mouse	y2017	paired-ended	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0					4.35	79.01	16.64	97.61	4.35	79.01	16.64	18.21	67.15	18.35	14.5	97.61	10.765616182553899	1.0430333969149999	1.46952840978002	1.2249578266094798	2.34136239847564	13.4328388129506	23.087863986680897	1.4089871670607501	45.2258118189737	1.1617	1.3136	1.4323	1.8587	7.9417	11.1299	2.7268	1.8423	1.5879	1.3654	0
