accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status
ENCFF794IMD	RNA-seq	human	y2016	single-ended	2.0	2.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	1.0	2.0	0.0	4.59	14.17	81.24	95.41	4.59	14.17	81.24	95.41									19.0690624154808	0.481635359858932	7.6656729371964	4.85837445009986	4.77616638423561	0.83491611874023	22.8231288878838	17.8209667240697	21.6700767224347	0.3072	0.3875	2.9454	4.4864	19.957	32.5823	9.5427	0.7088	0.49200000000000005	0.5937	1
ENCFF960GCL	RNA-seq	human	y2016	single-ended	2.0	2.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	18.37	59.23	22.4	81.63	18.37	59.23	22.4	81.63									16.3168283888884	2.18540948834352	35.7489823710515	2.29898295758111	24.7777852427006	3.23529756782149	7.73653941106024	0.622681208336399	7.07749336421679	2.0991	2.332	2.6155	3.0471	6.6429	18.3693	5.233	3.2728	2.4636	2.2796	0
ENCFF000MSV	RNA-seq	human	y2012	single-ended	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	48.89	31.65	19.46	51.11	48.89	31.65	19.46	51.11									17.799672470565	2.28653788228473	26.528136587793	2.0415590236621	20.982547183874	5.98075327657938	12.2030929223418	1.25152019507842	10.9261804578216	1.9501	2.3653	2.8582	3.4333	7.2295	22.7102	6.3523	3.7346	2.6906	2.4754	0
ENCFF001RGM	RNA-seq	human	y2013	single-ended	2.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	1.0	1.0	0.0	40.05	27.89	32.07	59.95	40.05	27.89	32.07	59.95									10.6032281190858	1.58676842753841	44.5429840315485	2.64366935344199	13.1610354249174	5.19349925631711	8.51629751934258	0.367905228452877	13.3846126393553	1.9787	2.3207	2.8779	3.1727	9.1257	35.828	7.3602	3.5476	2.4035	2.5232	1
ENCFF701WAW	RNA-seq	human	y2016	single-ended	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	18.32	59.36	22.32	81.68	18.32	59.36	22.32	81.68									14.2904696386566	1.96396076516799	38.8701492758126	2.04860604754085	24.2035840566754	3.26587072625864	7.49517595862632	0.601710658965108	7.26047287229658	2.1644	2.3864	2.6	2.9084	5.9464	16.5348	5.0758	3.2243	2.4425	2.2165	0
ENCFF975MTU	RNA-seq	human	y2016	single-ended	2.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	1.0	2.0	0.0	4.09	21.03	74.88	95.91	4.09	21.03	74.88	95.91									14.7195593265515	0.422371285149482	12.8781484607525	5.91106570121274	4.46945937541646	2.50704100217671	24.3026076140554	17.3932743991826	17.3964728355026	0.4789	0.5318	2.8218	4.4832	20.3463	37.664	7.0252	0.8904	0.6354	0.5843	1
ENCFF630LYO	RNA-seq	human	y2016	single-ended	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	0.0	1.0	2.0	0.0	6.68	23.42	69.89	93.32	6.68	23.42	69.89	93.32									17.6034293494725	0.974276621595651	21.2018358485588	3.97300299351459	8.13688733114656	3.33553748082229	24.0914406329704	8.31669364847213	12.3668960934472	0.3776	0.4244	0.9068	1.5775	27.6898	55.2989	3.3954	0.7145	0.5425	0.4741	1
ENCFF002BHL	RNA-seq	human	y2014	single-ended	2.0	0.0	0.0	2.0	0.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	13.9	59.21	26.9	86.1	13.9	59.21	26.9	86.1									6.3911692455199	0.816411587234292	41.7302012747641	2.22390803795344	6.80702280265383	11.3183820412035	22.4275541220419	0.785923187711019	7.49942770091804	2.5043	2.5581	3.1647	3.5558	5.0197	14.3666	4.2388	2.9423	2.4066	2.151	1
ENCFF025DKC	RNA-seq	human	y2016	single-ended	2.0	0.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	1.0	2.0	0.0	4.07	18.0	77.93	95.93	4.07	18.0	77.93	95.93									27.8530307062237	0.377743017920077	11.4293224640268	1.45353176740896	4.05294892680742	0.822012941917143	30.795467083785	3.88517131489619	19.3307717770148	0.1894	0.2062	0.5766	0.7429	28.2242	54.4918	5.5039	0.3745	0.24	0.2153	1
ENCFF715EGE	RNA-seq	human	y2016	single-ended	2.0	2.0	1.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0	7.63	67.92	24.45	92.37	7.63	67.92	24.45	92.37									15.2936238888825	1.91929097803459	32.7844162531647	2.42721545815249	22.5695138556733	4.6545265773342	11.9295792484643	0.653613925064132	7.76821981522978	2.178	2.3876	2.6623	3.0451	5.7286	15.322000000000001	5.0962	3.312	2.5671	2.3911	0
