accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status	peak_type
ENCFF000CTH	ChIP-seq	human	y2010	single-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.08	72.28	25.63	97.92	2.08	72.28	25.63	97.92									6.08970152588168	0.649283644083164	1.7019025683821598	1.23445040308482	2.27274321087342	40.483501423094296	33.6875123349867	0.459938467826848	13.420966421786899	1.6614	1.8882	2.1867	2.6371	2.8257	4.2476	5.1356	4.2264	3.5239999999999996	3.0278	0	broad
ENCFF000BSY	ChIP-seq	human	y2010	single-end	2.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	34.4	49.62	15.97	65.6	34.4	49.62	15.97	65.6									7.95349845536827	0.5091563841767079	1.9763056102549896	1.2217545169688702	2.08811326094942	22.051600134088893	31.185000511866303	0.968731996860554	32.045839129465996	1.5882	1.7764	2.0659	2.7356	4.7478	4.9942	3.9428	2.674	2.1662	1.9045	0	broad
ENCFF000BUT	ChIP-seq	human	y2010	single-end	2.0	0.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	39.37	42.74	17.89	60.63	39.37	42.74	17.89	60.63									2.4180162758843	0.14956490210297302	1.58851019257111	0.529469825155104	1.38314801385867	18.9496213036822	33.6393119007332	0.696760937877689	40.64559664813471	1.4008	1.5119	1.5986	1.6459	1.5429	1.4972	1.8367	1.8085	1.7224	1.6112	0	broad
ENCFF708OIN	ChIP-seq	human	y2014	single-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	2.31	71.01	26.68	97.69	2.31	71.01	26.68	97.69									2.49621571437221	0.136537025450582	1.38646133973803	0.547964558903667	1.42228591034775	15.509718045492196	30.145821139524106	0.808928895795911	47.5460673703756	1.5346	1.6375	1.7746	1.9495	1.9398	1.8191	1.8885	1.7662	1.6474	1.5271	0	broad
ENCFF007MEI	ChIP-seq	human	y2014	single-end	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	0.0	6.47	67.33	26.2	93.53	6.47	67.33	26.2	93.53									5.06076641216153	0.263926285710262	4.11147666958018	0.9530112641405252	3.92841804153419	14.014646701877	46.2478513242079	0.881900027861121	24.5380032729273	1.5425	1.6248	1.6715	1.7187	1.8542	2.0438	1.7878	1.7487	1.7403	1.7154	0	broad
ENCFF000CSE	ChIP-seq	human	y2010	single-end	2.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	18.68	54.86	26.46	81.32	18.68	54.86	26.46	81.32									5.6971333631157	0.33781240117857897	4.37318984253826	1.11754164930756	4.35451729970937	15.772877629591001	43.78711293374761	1.14695592376382	23.4128589570481	1.7792	1.8756	2.0108	2.0791	2.1029	2.2139	2.3498	2.4473	2.3346	2.2178	0	broad
ENCFF851IDU	ChIP-seq	human	y2016	single-end	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.78	76.72	20.5	97.22	2.78	76.72	20.5	97.22									3.99739173856298	0.353763040051281	1.63237378918295	0.806692260315744	1.76067694230578	23.6600257811974	31.1361711405316	0.651261580690828	36.0016437271614	1.5261	1.6847	1.9015	2.1918	2.3901	2.9494	3.2381	2.747	2.3309	2.0352	0	broad
ENCFF001FDX	ChIP-seq	human	y2011	single-end	2.0	2.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	3.37	71.89	24.74	96.63	3.37	71.89	24.74	96.63									3.99282736487304	0.251082547797408	3.0722585535387403	0.8558578536121211	3.33170715973325	14.2864054574924	37.624281325344896	0.868054155612718	35.717525581995396	1.5022	1.604	1.7032	1.797	1.9091	2.0516	1.9495	1.9245	1.7972	1.7157	0	broad
ENCFF000CVY	ChIP-seq	human	y2010	single-end	2.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	40.85	41.28	17.87	59.15	40.85	41.28	17.87	59.15									4.6166568980883	0.24608788508940305	3.99672016636023	0.8808782085765441	3.30422163164698	16.2798376542566	45.663855189523794	1.03523512834306	23.9765072381151	1.6406	1.7384	1.8323	1.8985	1.8253	1.7796	2.0159	2.1384	2.089	1.9762	0	broad
ENCFF000ASM	ChIP-seq	human	y2010	single-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	8.56	68.25	23.19	91.44	8.56	68.25	23.19	91.44									4.857375795152589	0.288167324261213	1.83569530558016	0.837225219421854	1.79472984942427	21.546219502375397	32.117823496255696	0.947540059586118	35.77522344794271	1.7332	1.875	2.1173	2.5381	3.0751	2.7763	2.7759	2.4512	2.164	1.9779	0	broad
ENCFF539YAN	ChIP-seq	human	y2016	single-end	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	3.18	74.34	22.48	96.82	3.18	74.34	22.48	96.82									2.0022853266684697	0.123048286610651	1.24501851276109	0.449494684394772	1.3078044309496202	15.3275365712832	31.1554425902522	0.6359345411378989	47.753435055942	1.3586	1.4072	1.4908	1.568	1.6027	1.5141	1.5712	1.5039	1.4471	1.3657	0	broad
ENCFF000CSA	ChIP-seq	human	y2010	single-end	2.0	1.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	25.07	51.39	23.54	74.93	25.07	51.39	23.54	74.93									3.46410252545804	0.211501459410308	1.27845347721461	0.786323240543976	1.75722043877761	16.2191979020663	26.8730438626898	1.01420224764259	48.3959548461967	1.8219	1.949	2.0964	2.3528	2.6738	2.9235	2.5259	2.1506	1.9144	1.7543	0	broad
