accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status	peak_type
ENCFF001KVG	ChIP-seq	mouse	y2011	single-end	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0	14.05	58.93	27.02	85.95	14.05	58.93	27.02	85.95									2.45299023034938	0.34392232634138803	1.20161262700647	0.5550708899065749	1.96319809482746	11.552727704988401	23.564824422313198	1.27293571050081	57.0927179937663	1.2126	1.419	1.5117	1.7158	2.7069	6.5903	2.2499	1.8071	1.6083	1.3565	0	broad
ENCFF665KBE	ChIP-seq	mouse	y2015	single-end	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	2.53	76.05	21.42	97.47	2.53	76.05	21.42	97.47									2.1108716559145804	0.2787886932131	1.3434004799578	0.4412482914164171	1.80891742740212	14.194756967460899	27.105982825413104	1.1439361954970602	51.5720974637249	1.1498	1.2987	1.3536	1.5872	2.2021	4.4559	2.3397	1.8135	1.6036	1.3903	0	broad
ENCFF815GRU	ChIP-seq	mouse	y2015	single-end	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.95	75.3	22.75	98.05	1.95	75.3	22.75	98.05									1.46163447799772	0.402559039316733	3.66206312511037	0.456039589654674	5.08306041195075	10.322147570197	41.4838494758304	1.57792708182825	35.5507192281141	1.1998	1.3382	1.3251	1.3286	1.5382	4.16	1.8733	1.9381	2.0223	1.8618	0	broad
ENCFF001LUU	ChIP-seq	mouse	y2011	single-end	2.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	3.29	79.24	17.47	96.71	3.29	79.24	17.47	96.71									2.50778076382751	0.32856567405563697	1.67569495798488	0.495403687871628	2.4272175427415896	16.1773753624844	28.9642816345917	1.38560724026878	46.0380731361739	1.3805	1.5090000000000001	1.6567	1.9765	2.3809	3.3873	2.6562	2.2706	1.9635	1.6859	0	broad
ENCFF001MFC	ChIP-seq	mouse	y2011	single-end	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	4.71	75.97	19.32	95.29	4.71	75.97	19.32	95.29									2.26606027403846	0.3565444433650179	1.34465328556706	0.580887014471097	2.48108862232629	12.5417512541651	25.3960798138758	1.2692381266193502	53.763697165571784	1.33	1.4908	1.6126	1.7988	2.2206	3.6460000000000004	2.1768	1.8901	1.6781	1.4884	0	broad
ENCFF001KNP	ChIP-seq	mouse	y2011	single-end	2.0	2.0	0.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	9.26	71.89	18.85	90.74	9.26	71.89	18.85	90.74									3.4205164814450897	0.7456655744542621	1.4931359062488705	1.09308136247147	3.05866263470508	25.9927168014887	31.714499420472396	0.990912044148375	31.4908097745658	1.1498	1.2832	1.3986	1.6008	2.4953	6.4616	3.2477	2.6868	2.3599	2.1274	0	broad
ENCFF001KHY	ChIP-seq	mouse	y2011	single-end	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	12.31	70.08	17.61	87.69	12.31	70.08	17.61	87.69									2.13159858844376	0.33279859206004603	2.41557734478356	0.511201942346386	2.92667883479307	17.0847325506757	36.404127787426795	1.35369569169972	36.839588667771004	1.1093	1.24	1.3525	1.5578	2.1743	3.7389	2.392	2.1592	1.9536	1.7612	0	broad
ENCFF001KHQ	ChIP-seq	mouse	y2011	single-end	2.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	0.0	28.59	56.58	14.82	71.41	28.59	56.58	14.82	71.41									2.04936700078729	0.331506378255112	2.52666781291256	0.5219440732551671	2.9561078315742497	16.5320833220217	36.629795757080295	1.35649152230504	37.0960363018086	1.1107	1.2299	1.3164	1.5211	2.1429	3.9985	2.4256	2.1612	1.9880000000000002	1.7653	0	broad
ENCFF001JZV	ChIP-seq	mouse	y2011	single-end	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	12.88	48.61	38.51	87.12	12.88	48.61	38.51	87.12									1.71252397024636	0.253443369147901	0.999727217578588	0.374974044956172	1.63832308024282	9.469214264484947	21.0307104149957	1.30477532092648	63.216308317420996	1.0189	1.3622	1.4092	1.5618	3.1253	11.4808	2.5935	1.9091	1.6933	1.215	0	broad
ENCFF001KIR	ChIP-seq	mouse	y2011	single-end	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	8.71	70.29	21.0	91.29	8.71	70.29	21.0	91.29									2.48332599620341	0.473119530370202	1.5169307197774602	0.724119569479278	2.95143154257223	17.9896731985508	30.0948344934021	1.12443605214944	42.642128897495105	1.159	1.2997	1.3996	1.5124	2.2181	5.2965	2.4181	2.0437	1.9546	1.7104	0	broad
ENCFF001IAP	ChIP-seq	mouse	y2011	single-end	2.0	2.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	39.91	45.62	14.48	60.09	39.91	45.62	14.48	60.09									2.5294477734708	0.391534911028	1.29553171302535	0.733777299992085	3.00353764015056	12.3878519982006	25.318222303263198	1.3197772218453998	53.020319139024004	1.4653	1.556	1.6143	1.7241	2.2374	3.6304	2.0302	1.7527	1.5847	1.4715	0	broad
ENCFF001MCZ	ChIP-seq	mouse	y2011	single-end	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.94	80.22	16.83	97.06	2.94	80.22	16.83	97.06									1.98580594379859	0.69598342457893	4.9338715605150085	0.635097392615766	8.831478879656961	11.4961440515448	47.634307276181204	2.00353098928786	21.783780481820802	1.4795	1.5746	1.5942	1.5356	1.5329	3.217	2.2463	2.6712	2.8038	2.6586	0	broad
ENCFF001LUW	ChIP-seq	mouse	y2011	single-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.1	82.72	16.19	98.9	1.1	82.72	16.19	98.9									2.31413156194112	0.31590495799456	1.80325322993533	0.477213864550614	2.40210002154125	17.4835810577255	30.9019772865037	1.41761473221219	42.8842232875957	1.3525	1.4893	1.632	1.9895	2.1706	2.6956	2.5977	2.3291	2.0822	1.8102	0	broad
ENCFF001KUI	ChIP-seq	mouse	y2011	single-end	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	8.49	68.22	23.29	91.51	8.49	68.22	23.29	91.51									1.95347901526391	0.420851459753062	3.28221892523952	0.517313350265295	4.77783086478739	11.6062061508286	39.3106847386024	1.6468931526139798	36.484522342645896	1.2432	1.3764	1.4256	1.4607	2.0504	4.7731	2.0595	2.0529	2.0279	1.8612	0	broad
ENCFF445IOU	ChIP-seq	mouse	y2016	single-end	2.0	2.0	0.0	2.0	0.0	2.0	2.0	1.0	1.0	2.0	2.0	0.0	3.27	77.66	19.07	96.73	3.27	77.66	19.07	96.73									2.94414657017143	0.390108436921449	1.47207328508572	0.6772298494065219	2.38432994317681	13.033368597372801	24.870965673663395	1.3500516938760805	52.8777259503258	1.3572	1.5631	1.8124	2.2898	2.8673	4.4759	2.7028	2.1449	1.8312	1.5730000000000002	0	broad
ENCFF001KPE	ChIP-seq	mouse	y2011	single-end	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	50.58	42.44	6.99	49.42	50.58	42.44	6.99	49.42									3.12594813317272	0.35627277397106	1.5781942637880502	0.5789682909220539	2.36223468542756	18.2916730501375	30.3788126844322	1.3687162865122	41.95917983163661	1.2545	1.3638	1.4859	1.9011	2.7065	2.9144	2.6558	2.1809	1.8259	1.6569	0	broad
ENCFF564ZSR	ChIP-seq	mouse	y2015	single-end	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.46	79.95	18.59	98.54	1.46	79.95	18.59	98.54									2.42697764594195	0.295227144456797	1.4696196732552298	0.5114597253034221	1.88885224307469	16.8473951342156	29.206435450514608	1.18261277526548	46.17142020797221	1.1258	1.2687	1.3613	1.6521	2.374	4.2987	2.5743	1.9986	1.7426	1.5045	0	broad
ENCFF987CWK	ChIP-seq	mouse	y2016	single-end	2.0	2.0	0.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.8	76.1	22.1	98.2	1.8	76.1	22.1	98.2									1.85459479719315	0.4558819697628689	3.33338010073699	0.5159112728817871	5.258126003411348	11.3730976523431	38.895781513379795	1.586417142525	36.726809547765896	1.2775	1.3903	1.4212	1.4346	1.7155	3.6658	1.8959	2.0471	2.1339	1.9488	0	broad
