accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status	peak_type
ENCFF000CRH	ChIP-seq	human	y2010	single-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.6	75.24	23.17	98.4	1.6	75.24	23.17	98.4									7.7550618731968495	0.471768690746485	1.23053502264952	0.977479019950252	1.5523780737015602	16.606900596187902	27.801214467974898	0.731552769707991	42.8731094858846	1.4506	1.5147	1.6847	2.0906	4.8562	5.9626	2.4174	1.7194	1.5391	1.4469	0	narrow
ENCFF000XDP	ChIP-seq	human	y2010	single-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	53.29	32.76	13.95	46.71	53.29	32.76	13.95	46.71									5.75509160767802	0.2574233114016989	1.52934404353855	0.752444917650705	1.73574561182819	15.883662374936302	30.204268114731498	0.8768292854741999	43.0051907327608	1.5246	1.6338	1.7555	1.9341	3.5264	3.8988	2.0978	1.806	1.6856	1.5695	0	narrow
ENCFF000YEM	ChIP-seq	human	y2012	single-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	10.59	67.23	22.19	89.41	10.59	67.23	22.19	89.41									4.17774746671725	0.19622600393057305	1.56849649517153	0.6093599299437861	1.4370402056488898	16.2080661498541	31.984939528089104	0.8116391782115491	43.00648504243321	1.403	1.5189	1.6958	1.8383	2.8531	2.7087	1.9153	1.7082	1.5842	1.5076	0	narrow
ENCFF000PQL	ChIP-seq	human	y2012	single-end	2.0	2.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	15.83	60.68	23.49	84.17	15.83	60.68	23.49	84.17									3.83798705836889	0.203703246918757	1.5825542866069695	0.628170658510315	1.53013821398913	16.5429236246434	32.5970416779721	0.8007325916972942	42.2767486412932	1.48	1.5665	1.6926	1.8927	3.6627	3.8834	1.9918	1.7437	1.6472	1.5499	0	narrow
ENCFF983OSM	ChIP-seq	human	y2018	single-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.32	77.93	20.75	98.68	1.32	77.93	20.75	98.68									6.894845153842289	0.3436229483511519	1.86457862771671	0.939015208552929	1.94689554785926	16.1592129699342	30.179290267529996	1.04000401545952	40.6325352607539	1.671	1.8037	1.9489	2.2801	4.3245	4.3663	2.431	1.9858	1.7997	1.694	0	narrow
ENCFF000PFR	ChIP-seq	human	y2012	single-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	8.26	66.89	24.86	91.74	8.26	66.89	24.86	91.74									3.74697852728311	0.194803821980516	1.5648736996719	0.635453087514736	1.55067869248883	16.350534124897898	32.3993488417982	0.811934276110004	42.7453949282548	1.5263	1.6234	1.7601	1.9396	2.5766	2.6037	1.9932	1.7890000000000001	1.6616	1.5928	0	narrow
ENCFF000PYD	ChIP-seq	human	y2012	single-end	2.0	2.0	2.0	2.0	1.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	22.91	56.64	20.45	77.09	22.91	56.64	20.45	77.09									10.2348188398145	0.445822911858206	2.3508031952821	1.2311671750435702	2.94577011306986	14.7304596712798	27.833107555657506	1.33153515745604	38.8965153805385	2.0019	2.2313	2.4937	2.5455	7.1177	6.1652	2.8275	2.3731	2.0941	1.9247	0	narrow
ENCFF000CTU	ChIP-seq	human	y2010	single-end	2.0	0.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	30.49	50.85	18.66	69.51	30.49	50.85	18.66	69.51									12.8458211807302	1.02464045056824	1.56381373830836	1.60424419189379	1.81615206678065	21.0362063763452	26.076234536860103	0.768580911193805	33.2643065473197	1.29	1.4015	1.6705	2.5051	7.3791	11.1952	4.7767	2.3890000000000002	1.7603	1.517	0	narrow
ENCFF001GDW	ChIP-seq	human	y2011	single-end	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	2.78	86.66	10.56	97.22	2.78	86.66	10.56	97.22									37.9389485879681	3.9462527886853	1.29306802487918	4.96130417265495	2.3389878751069904	28.734332750039602	9.524625619624329	0.418728740346088	10.8437514406955	0.6569	0.7175	1.0234	2.8422	18.4391	42.9673	9.8787	2.5834	1.2263	0.8841	0	narrow
ENCFF000XXB	ChIP-seq	human	y2012	single-end	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	11.13	65.75	23.12	88.87	11.13	65.75	23.12	88.87									6.03068949082933	0.31840170405367696	3.38221202530689	1.09737751862297	2.41239670837124	17.2048763825536	33.9001085185555	1.61447800761141	34.039459644095395	1.6561	1.8101	1.9523	2.1916	3.2542	3.766	2.5079	2.2001	2.0523	1.9153	0	narrow
