accession	assay	organism	year	runType	FastQC_Basic_Statistics	FastQC_Per_base_sequence_quality	FastQC_Per_tile_sequence_quality	FastQC_Per_sequence_quality_scores	FastQC_Per_base_sequence_content	FastQC_Per_sequence_GC_content	FastQC_Per_base_N_content	FastQC_Sequence_Length_Distribution	FastQC_Sequence_Duplication_Levels	FastQC_Overrepresented_sequences	FastQC_Adapter_Content	FastQC_Kmer_Content	BowtieSE_no_mapping	BowtieSE_uniquely	BowtieSE_multiple	BowtieSE_overall	BowtieMI_no_mapping	BowtieMI_uniquely	BowtieMI_multiple	BowtieMI_overall	BowtiePE_con_no_mapping	BowtiePE_con_uniquely	BowtiePE_con_multiple	BowtiePE_dis_uniquely	BowtiePE_cod_no_mapping	BowtiePE_cod_uniquely	BowtiePE_cod_multiple	BowtiePE_overall	readsAnno_Promoter	readsAnno_5_UTR	readsAnno_3_UTR	readsAnno_1st_Exon	readsAnno_Other_Exon	readsAnno_1st_Intron	readsAnno_Other_Intron	readsAnno_Downstream	readsAnno_Distal_Intergenic	TSS_-4500	TSS_-3500	TSS_-2500	TSS_-1500	TSS_-500	TSS_+500	TSS_+1500	TSS_+2500	TSS_+3500	TSS_+4500	status	peak_type
ENCFF001KWT	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	4.04	73.59	22.37	95.96	4.04	73.59	22.37	95.96									8.673770926810441	1.20304031778196	1.48588395168942	1.67022482751966	2.40658320065615	15.5890665959055	23.8173638249626	1.36536884257249	43.78869751210179	1.1643	1.3311	1.4702	1.9706	6.325	12.0352	2.8138	1.8493	1.6053	1.4040000000000001	0	narrow
ENCFF001LPS	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	11.49	68.24	20.27	88.51	11.49	68.24	20.27	88.51									4.1698463044169305	0.611092114063843	1.8618554778180805	0.844939637857227	3.78237339192223	13.2593150433551	27.511679841481104	1.47428228765452	46.48461590143111	1.3014	1.3985	1.5105	1.6586	3.3143	5.439	2.2053	1.7927	1.6633	1.5506	0	narrow
ENCFF001KBQ	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	0.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	0.0	9.91	73.78	16.32	90.09	9.91	73.78	16.32	90.09									7.09136880772208	1.19374165373371	1.67246143172804	1.49631260451631	3.1704783789094595	16.8654732257793	26.575514410718498	1.47255206265565	40.462097424237	1.305	1.4396	1.6167	2.0239	4.7035	9.6501	3.0035	2.2468	2.0069999999999997	1.6964	0	narrow
ENCFF002BXI	ChIP-seq	mouse	y2014	single-ended	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	9.36	68.49	22.15	90.64	9.36	68.49	22.15	90.64									17.0966349083367	3.4892800503613697	1.11023005621265	4.015390885722471	1.96017900883342	22.6904591842911	13.9060728222139	0.8860654778478589	34.845687606180604	0.7793	0.9795	1.0998	1.7518	11.0365	30.8802	6.0891	2.2862	1.5335	1.0833	0	narrow
ENCFF001KFS	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	0.0	47.69	41.6	10.71	52.31	47.69	41.6	10.71	52.31									14.5654729363043	2.73750948716254	1.55188952236768	3.75911919080261	3.99181751004788	17.7890055050575	20.849629224666	1.16999993992298	33.5855566836685	1.0896	1.1402	1.242	1.6276	7.4827	21.9387	3.2337	1.7694	1.4949	1.3869999999999998	0	narrow
ENCFF001KDQ	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	16.97	64.47	18.56	83.03	16.97	64.47	18.56	83.03									6.568030002347701	0.767917232688754	1.84213853010167	0.953926972616236	2.69573662465562	15.868817985356	25.4525334044999	1.79889678365683	44.05200246407721	1.5655	1.7280000000000002	1.8865	2.4466	5.27	7.6033	2.7716	2.0946	1.9301	1.7923	0	narrow
ENCFF001NQU	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	3.59	75.52	20.89	96.41	3.59	75.52	20.89	96.41									4.86035167419471	0.363292325412002	1.7643907303771	0.499840476443688	1.79930532006044	11.4012188001019	26.9095170349086	2.127382067947	50.2747015705546	1.6795	1.8732	2.0854	2.3241	4.4619	4.5253	2.2228	1.9743	1.7819999999999998	1.5376	0	narrow
ENCFF001NGO	ChIP-seq	mouse	y2012	single-ended	2.0	0.0	0.0	2.0	1.0	0.0	2.0	2.0	2.0	0.0	2.0	0.0	27.04	55.35	17.61	72.96	27.04	55.35	17.61	72.96									5.832763150969441	0.427231909699308	1.40467293125018	0.640594825038361	1.5468811362081298	13.7813414737831	25.267412154803505	1.36438904116244	49.7347133770856	1.2622	1.4331	1.5307	1.871	5.2674	7.3532	2.5649	1.9301	1.6325	1.3976	0	narrow
ENCFF001MTM	ChIP-seq	mouse	y2011	single-ended	2.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	3.6	67.23	29.17	96.4	3.6	67.23	29.17	96.4									1.0696241627213	0.13259637382116998	1.11660633766401	0.28108821582424	1.32787521856269	10.9743117161673	25.781242140294598	1.13692839192188	58.179727443022784	1.1184	1.2317	1.3031	1.3763	1.6739	3.971	1.6607	1.5512	1.3622	1.1786	0	narrow
ENCFF001MWX	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	7.45	68.34	24.22	92.55	7.45	68.34	24.22	92.55									1.6159815109868898	0.200391345423076	1.24431379517715	0.359620139932594	1.84398188446174	11.884230827537902	26.2354036088514	1.18608384510432	55.4299930425249	1.2065	1.3130000000000002	1.3993	1.5018	1.8702	3.7042	1.7891	1.6482	1.4695	1.2959	0	narrow
ENCFF001KWN	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	6.78	82.75	10.47	93.22	6.78	82.75	10.47	93.22									28.5529039675099	4.8652099219265095	1.3059274015626698	6.408169350328128	3.9564037168703	23.3083827692024	11.1827287799304	0.8786894300125171	19.5415846626571	0.7557	0.8056	1.0851	2.1341	15.7467	40.2056	5.2763	2.0451	1.396	1.1195	0	narrow
ENCFF001KUW	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	5.46	74.66	19.88	94.54	5.46	74.66	19.88	94.54									8.50790610068444	1.16244629785252	1.47097950508181	1.36274689935673	2.14326663674708	16.9793665280125	24.514785598035306	1.33413252771327	42.5243699065163	1.2398	1.4118	1.5391	2.0033	5.9174	10.4921	2.8806	1.9847	1.7119	1.5193	0	narrow
ENCFF001JYS	ChIP-seq	mouse	y2011	single-ended	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	5.56	86.61	7.83	94.44	5.56	86.61	7.83	94.44									28.6928627906278	5.767117392131151	1.1020587911483	7.664968522614679	3.0029125339045	33.325693353217304	8.22655710468107	0.5296608049002629	11.6881687067749	0.5558	0.5736	0.7566	1.7391	15.9214	50.3504	8.0547	2.1648	1.2214	0.8673	0	narrow
ENCFF001OBP	ChIP-seq	mouse	y2012	single-ended	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	5.22	70.35	24.43	94.78	5.22	70.35	24.43	94.78									5.48366299248024	0.32206038305803697	1.56491018060287	0.533855003534932	1.35261343916704	14.422219454977801	25.7755760331641	1.5262468667652198	49.0188556462498	1.4793	1.6427	1.8607	2.2698	4.8725	5.4846	2.6460000000000004	2.1192	1.7889	1.6252	0	narrow
