binID,chr,start,end,count,blID,blType
1,chr1,0,792500,42391,hsHSR_1,2
2,chr1,91386300,91388400,77,hsLM_1,1
3,chr1,103594400,103760600,3642,hsHSR_2,2
4,chr1,121605200,124938900,11130,hsHSR_3,2
5,chr1,125067600,125086000,169,hsHSR_4,2
6,chr1,125130200,143562200,36736,hsHSR_5,2
7,chr1,161423100,161472400,5193,hsHSR_6,2
8,chr1,168348600,168349900,224,hsHSR_7,2
9,chr1,224010800,224017000,210,hsHSR_8,2
10,chr1,236713000,236715600,285,hsLM_2,1
11,chr1,248932700,248956400,681,hsHSR_9,2
167,chr2,1221700,1223900,73,hsHSR_146,2
168,chr2,1594700,1605200,308,hsHSR_147,2
169,chr2,3179600,3182100,18,hsHSR_148,2
170,chr2,4643800,4648800,701,hsHSR_149,2
171,chr2,10952800,10955000,10,hsHSR_150,2
172,chr2,13718700,13737700,1197,hsHSR_151,2
173,chr2,21903500,21906400,431,hsHSR_152,2
174,chr2,32865900,32869900,1510,hsHSR_153,2
175,chr2,32915300,32918400,2001,hsHSR_154,2
176,chr2,33766500,33768400,29,hsHSR_155,2
177,chr2,36183000,36184500,24,hsHSR_156,2
178,chr2,49228700,49230700,349,hsHSR_157,2
179,chr2,64359300,64377000,681,hsHSR_158,2
180,chr2,86655300,86661100,740,hsHSR_159,2
181,chr2,86900700,87078100,21286,hsLM_22,1
182,chr2,87119300,87189800,8009,hsLM_23,1
183,chr2,87217000,87866200,52038,hsHSR_160,2
184,chr2,88771000,88806500,2252,hsHSR_161,2
185,chr2,89235300,89947100,22354,hsHSR_162,2
186,chr2,90246300,91735500,29330,hsHSR_163,2
187,chr2,91783000,91924800,11714,hsLM_24,1
188,chr2,91969000,94569500,14550,hsHSR_164,2
189,chr2,95849400,96067900,14255,hsHSR_165,2
190,chr2,97106300,97615800,26650,hsHSR_166,2
191,chr2,109198400,109200700,300,hsHSR_167,2
192,chr2,109744600,110095200,33218,hsHSR_168,2
193,chr2,110229200,110633400,37761,hsLM_25,1
194,chr2,111253600,111500500,16236,hsLM_26,1
195,chr2,112346200,112441300,11260,hsLM_27,1
196,chr2,113370100,113662700,32271,hsHSR_169,2
197,chr2,130496800,130716400,21139,hsHSR_170,2
198,chr2,132201000,132288900,4833,hsHSR_171,2
199,chr2,132353600,132364500,963,hsHSR_172,2
200,chr2,148880800,148882800,88,hsHSR_173,2
201,chr2,161277700,161283400,323,hsHSR_174,2
202,chr2,181274800,181276800,104,hsHSR_175,2
203,chr2,226108500,226110400,341,hsHSR_176,2
204,chr2,234889800,234894400,627,hsHSR_177,2
205,chr2,239642200,239645600,194,hsHSR_178,2
206,chr2,240308100,240310300,58,hsHSR_179,2
207,chr2,241589300,241591800,11,hsHSR_180,2
208,chr2,242005900,242011100,31,hsHSR_181,2
209,chr2,242110100,242193500,6402,hsHSR_182,2
232,chr3,0,11600,59,hsHSR_205,2
233,chr3,3895200,3896700,201,hsHSR_206,2
234,chr3,4916700,4922500,605,hsHSR_207,2
235,chr3,14091000,14092500,1152,hsHSR_208,2
236,chr3,15187200,15207800,4324,hsHSR_209,2
237,chr3,15592100,15603300,3927,hsHSR_210,2
238,chr3,16176800,16179200,57,hsHSR_211,2
239,chr3,16679700,16682500,472,hsHSR_212,2
240,chr3,19499700,19504000,597,hsHSR_213,2
241,chr3,19624000,19627100,379,hsHSR_214,2
242,chr3,21983200,21988100,575,hsHSR_215,2
243,chr3,24053500,24054900,356,hsHSR_216,2
244,chr3,26384800,26404100,1986,hsHSR_217,2
245,chr3,29993900,29999900,961,hsHSR_218,2
246,chr3,36987500,36995000,3267,hsHSR_219,2
247,chr3,38083400,38085400,209,hsHSR_220,2
248,chr3,38406100,38430900,5734,hsHSR_221,2
249,chr3,39366700,39386000,3641,hsHSR_222,2
250,chr3,40219400,40240500,1995,hsHSR_223,2
251,chr3,49671000,49696700,8034,hsHSR_224,2
252,chr3,51457800,51462000,947,hsHSR_225,2
253,chr3,57326800,57328500,221,hsHSR_226,2
254,chr3,65124100,65126100,503,hsHSR_227,2
255,chr3,65510000,65513900,498,hsHSR_228,2
256,chr3,65697400,65699300,228,hsHSR_229,2
257,chr3,66273800,66275200,236,hsHSR_230,2
